,idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,gen,fitness_cnn,rank_celm,rank_cnn
67,67,5.0,2.0,10.0,1.0,15.0,11.0,21.0,16.22,0.0,11.9,100,147
68,68,5.0,15.0,12.0,17.0,13.0,17.0,65.0,14.26,0.0,5.96,55,21
69,69,2.0,19.0,3.0,17.0,20.0,3.0,96.0,20.93,0.0,7.07,156,77
70,70,14.0,7.0,10.0,18.0,20.0,14.0,62.0,13.03,0.0,5.81,16,13
72,72,6.0,10.0,17.0,19.0,9.0,11.0,9.0,17.73,0.0,6.34,123,52
73,73,16.0,9.0,10.0,14.0,13.0,13.0,8.0,19.56,0.0,5.88,143,17
74,74,6.0,5.0,8.0,10.0,11.0,2.0,5.0,17.28,0.0,13.51,117,153
75,75,16.0,14.0,5.0,16.0,20.0,3.0,87.0,25.81,0.0,6.31,170,49
76,76,5.0,12.0,14.0,2.0,20.0,15.0,50.0,13.06,0.0,6.31,17,50
77,77,15.0,2.0,4.0,16.0,5.0,1.0,5.0,18.91,0.0,11.07,134,138
78,78,20.0,20.0,5.0,11.0,4.0,18.0,84.0,16.89,0.0,5.85,111,15
79,79,12.0,7.0,13.0,16.0,4.0,2.0,79.0,14.34,0.0,9.02,58,117
80,80,15.0,20.0,11.0,4.0,20.0,10.0,17.0,14.64,0.0,6.57,65,65
81,81,13.0,10.0,4.0,17.0,7.0,2.0,51.0,24.47,0.0,6.49,166,62
82,82,15.0,12.0,7.0,15.0,12.0,3.0,6.0,17.94,0.0,7.89,124,94
83,83,2.0,16.0,9.0,1.0,17.0,19.0,74.0,12.9,0.0,8.77,10,112
85,85,10.0,4.0,5.0,14.0,19.0,14.0,11.0,15.84,0.0,8.88,88,116
91,91,4.0,1.0,10.0,12.0,1.0,20.0,30.0,19.89,0.0,18.85,148,168
92,92,5.0,6.0,15.0,4.0,16.0,12.0,91.0,19.39,0.0,5.68,140,9
93,93,9.0,5.0,1.0,7.0,12.0,11.0,61.0,15.27,0.0,9.3,79,122
94,94,10.0,10.0,18.0,11.0,6.0,19.0,11.0,16.16,0.0,8.34,99,104
95,95,4.0,18.0,19.0,10.0,6.0,13.0,19.0,16.42,0.0,8.33,106,103
96,96,5.0,8.0,11.0,17.0,8.0,8.0,97.0,19.69,0.0,8.2,146,101
98,98,1.0,13.0,3.0,3.0,5.0,14.0,39.0,19.18,0.0,17.35,139,161
100,100,12.0,3.0,8.0,15.0,12.0,17.0,8.0,18.66,0.0,9.4,131,125
101,101,13.0,14.0,1.0,14.0,11.0,15.0,27.0,14.87,0.0,7.84,70,93
102,102,12.0,10.0,16.0,3.0,6.0,4.0,36.0,13.31,0.0,7.63,26,90
103,103,4.0,18.0,20.0,5.0,15.0,13.0,24.0,14.51,0.0,6.07,63,30
104,104,14.0,14.0,6.0,8.0,15.0,11.0,67.0,14.07,0.0,6.07,48,29
105,105,5.0,12.0,15.0,3.0,16.0,7.0,38.0,13.64,0.0,8.41,32,106
106,106,1.0,15.0,20.0,15.0,1.0,7.0,39.0,18.88,0.0,18.9,133,169
